topic_id,year,rank,word_phi,phi,word_relevance,relevance
4,2002,12,shirt,0.0049290282327250036,winner,9.247926650859194
4,2002,13,material,0.0045234752768678835,broad,9.147843192302211
4,2002,14,short,0.0043362969895492124,array,9.093775971031935
4,2002,15,fact,0.0042427078458898764,accordion,9.093775971031935
4,2002,16,hand,0.003993136796131649,stylist,9.036617557191985
4,2002,17,sleeve,0.003837154890032756,weave,8.975992935375551
4,2002,18,silk,0.0036187802214943067,effortless,8.975992935375551
4,2002,19,strong,0.003587583840274528,python,8.975992935375551
4,2002,20,past,0.003587583840274528,cocoon,8.975992935375551
5,2002,1,skirt,0.011290602744484974,cloud,9.889881531346825
5,2002,2,print,0.009611487464535927,dancer,9.766267575379649
5,2002,3,jacket,0.007613919286665508,python,9.56266862013841
5,2002,4,coat,0.005876903479821666,twenty,9.529878797315419
5,2002,5,white,0.005326848474321117,cat,9.424518281657594
5,2002,6,short,0.005124196630189335,invitation,9.264175631582415
5,2002,7,gown,0.005037345839847143,gear,9.264175631582415
5,2002,8,young,0.004632042151583579,dreamy,9.264175631582415
5,2002,9,suit,0.00451624109779399,unlikely,9.264175631582415
5,2002,10,presentation,0.004429390307451798,forty,9.219723869011577
5,2002,11,lace,0.004371489780557003,fancy,9.124413689207255
5,2002,12,signature,0.004284638990214811,eyed,9.124413689207255
5,2002,13,work,0.004255688726767413,passage,9.124413689207255
5,2002,14,leather,0.0041977881998726185,object,9.124413689207255
5,2002,15,pink,0.004110937409530426,clue,9.073120394819703
5,2002,16,chiffon,0.004081987146083029,exhibition,9.073120394819703
5,2002,17,big,0.003995136355740838,legacy,9.073120394819703
5,2002,18,audience,0.0037345839847142607,wrong,9.073120394819703
5,2002,19,life,0.003676683457819466,minidress,9.019053173549427
5,2002,20,place,0.0035898326674772742,stocking,9.019053173549427
6,2002,1,jacket,0.013215104933410935,forty,9.822741034228606
6,2002,2,skirt,0.010989763429080078,outing,9.663676339598918
6,2002,3,print,0.009654558526481564,con,9.292112783166436
6,2002,4,lace,0.009312198295046047,stocking,9.292112783166436
6,2002,5,chiffon,0.009038310109897633,frothy,9.292112783166436
6,2002,6,short,0.008867129994179875,oeuvre,9.129593853668661
6,2002,7,silk,0.008250881577595947,part,9.129593853668661
6,2002,8,white,0.007805813276729775,counterpoint,9.068969231852227
6,2002,9,satin,0.00749768906843781,copper,9.068969231852227
6,2002,10,gown,0.007326508952720052,intarsia,9.004430710714654
6,2002,11,coat,0.006744496559279674,paneled,9.004430710714654
6,2002,12,shoulder,0.006402136327844157,houndstooth,9.004430710714654
6,2002,13,pant,0.0061624841658392965,dévoré,9.004430710714654
6,2002,14,leather,0.0057516518881166765,passage,8.935437839227703
6,2002,15,suit,0.005066931425245644,visible,8.935437839227703
6,2002,16,sleeve,0.004690335170666575,pearl,8.935437839227703
6,2002,17,high,0.004484919031805265,gear,8.86132986707398
6,2002,18,hand,0.004279502892943956,faille,8.86132986707398
6,2002,19,strong,0.004211030846656852,fabrication,8.86132986707398
6,2002,20,pink,0.004039850730939094,grosgrain,8.86132986707398
7,2002,1,print,0.010637963050388695,wedge,9.875802164174996
7,2002,2,jacket,0.009977024517672238,latex,9.256762955768771
7,2002,3,pant,0.00830894155414975,program,9.207972791599339
7,2002,4,leather,0.008120101973373619,gauge,9.207972791599339
7,2002,5,skirt,0.008025682182985553,funny,9.207972791599339
7,2002,6,white,0.006924117961791459,manner,9.102612275941514
7,2002,7,high,0.006294652692537689,flagship,9.102612275941514
7,2002,8,short,0.006105813111761558,silvery,9.102612275941514
7,2002,9,big,0.0056022408963585435,down,9.045453862101565
7,2002,10,shirt,0.0055078211059704785,buyer,9.045453862101565
7,2002,11,young,0.005413401315582413,jumper,9.045453862101565
7,2002,12,coat,0.005318981525194348,overlay,8.98482924028513
7,2002,13,pair,0.005004248890567463,architectural,8.98482924028513
7,2002,14,bright,0.004280363830925628,cue,8.920290719147559
7,2002,15,jean,0.004028577723224121,puffer,8.920290719147559
7,2002,16,classic,0.0038397381424479906,crotch,8.920290719147559
7,2002,17,blue,0.0038397381424479906,maxi,8.851297847660607
7,2002,18,sporty,0.003745318352059925,con,8.851297847660607
7,2002,19,cool,0.0037138450885972367,winner,8.851297847660607
7,2002,20,denim,0.0037138450885972367,ice,8.851297847660607
8,2002,1,print,0.01586651653188658,crop,9.511906820104276
8,2002,2,skirt,0.015525301122598697,sundress,9.428525211165226
8,2002,3,white,0.010748285392568328,maxi,9.38407344859439
8,2002,4,short,0.007984440577336473,twenty,9.38407344859439
8,2002,5,coat,0.007506739004333436,sale,9.3375534329595
8,2002,6,blue,0.007029037431330399,trio,9.3375534329595
8,2002,7,chiffon,0.006824308185757669,sack,9.3375534329595
8,2002,8,silk,0.006824308185757669,painterly,9.237469974402515
8,2002,9,jacket,0.006619578940184939,skirtsuit,9.237469974402515
8,2002,10,sweater,0.0063124850718258435,terrific,9.18340275313224
8,2002,11,spring,0.006039512744395537,mien,9.18340275313224
8,2002,12,floral,0.0056641757941788655,overlay,9.126244339292292
